Split Type,CV Fold,R²,RMSE,Sample Count
blind_split,CV2,-0.4085870277142911,1.5569954602062712,125017
blind_split,CV0,-0.47217822867039505,1.5747383142270155,127520
blind_split,CV1,-0.34798645227588065,1.559748736905331,129407
random_split,CV2,0.7238432054921857,0.7482664293740572,167431
random_split,CV0,0.7028722678602348,0.7767419251701865,167430
random_split,CV1,0.709596639847238,0.7666880663461841,167429
new_protein,CV2,-0.049363928018549164,1.3830824560383512,168989
new_protein,CV0,-0.05235398814497283,1.385051533618061,168989
new_protein,CV1,-0.12279697653800747,1.4114851502306578,167601
new_compound,CV2,0.4099940581204161,1.0315635481626761,167441
new_compound,CV0,0.4285779430436293,1.0391660831200644,167641
new_compound,CV1,0.39764115546498535,1.0478176336915195,167559
